Timing study of parallel code with the following parameters:,,,,,,,,,
n_particles=500,iter_max=100,pert_rate=0.3,stop_cond=0,,,,,,
N Threads,1,2,4,6,8,10,12,14,16
Run 0,0.15,0.09,0.08,0.05,0.05,0.06,0.05,0.06,0.08
Run 1,0.16,0.12,0.07,0.06,0.06,0.06,0.06,0.05,0.06
Run 2,0.15,0.1,0.06,0.05,0.07,0.06,0.05,0.05,0.05
Run 3,0.15,0.09,0.06,0.07,0.07,0.06,0.06,0.06,0.07
Run 4,0.15,0.09,0.06,0.05,0.07,0.06,0.05,0.05,0.05
Run 5,0.14,0.09,0.06,0.06,0.07,0.06,0.05,0.05,0.05
Run 6,0.14,0.1,0.06,0.05,0.07,0.06,0.05,0.05,0.05
Run 7,0.15,0.09,0.06,0.05,0.07,0.06,0.06,0.06,0.07
Run 8,0.15,0.09,0.07,0.05,0.05,0.06,0.06,0.05,0.05
Run 9,0.15,0.09,0.06,0.06,0.08,0.07,0.06,0.05,0.05
Run 10,0.15,0.09,0.07,0.06,0.07,0.06,0.05,0.05,0.05
Run 11,0.14,0.09,0.06,0.05,0.07,0.06,0.05,0.05,0.05
Run 12,0.15,0.09,0.06,0.06,0.07,0.06,0.06,0.05,0.05
Run 13,0.15,0.09,0.06,0.05,0.07,0.06,0.06,0.05,0.07
Run 14,0.15,0.09,0.06,0.05,0.07,0.06,0.06,0.06,0.05
Run 15,0.14,0.09,0.06,0.06,0.07,0.06,0.05,0.06,0.06
Run 16,0.15,0.1,0.07,0.05,0.05,0.06,0.06,0.06,0.06
Run 17,0.15,0.09,0.06,0.08,0.08,0.06,0.06,0.06,0.07
Run 18,0.16,0.09,0.06,0.06,0.07,0.06,0.06,0.06,0.06
Run 19,0.16,0.1,0.07,0.08,0.08,0.06,0.05,0.05,0.06
Run 20,0.15,0.1,0.06,0.06,0.07,0.06,0.06,0.06,0.06
Run 21,0.15,0.09,0.06,0.06,0.06,0.06,0.06,0.05,0.05
Run 22,0.15,0.09,0.06,0.07,0.05,0.06,0.06,0.06,0.05
Run 23,0.14,0.09,0.06,0.05,0.07,0.06,0.05,0.05,0.05
Run 24,0.15,0.1,0.06,0.06,0.07,0.06,0.06,0.05,0.06
Run 25,0.16,0.09,0.07,0.06,0.05,0.06,0.06,0.06,0.18
Run 26,0.15,0.09,0.06,0.06,0.07,0.06,0.05,0.05,0.05
Run 27,0.15,0.1,0.06,0.05,0.07,0.06,0.06,0.05,0.05
Run 28,0.17,0.09,0.06,0.07,0.05,0.06,0.06,0.06,0.07
Run 29,0.15,0.09,0.06,0.05,0.07,0.06,0.06,0.05,0.06
Run 30,0.15,0.09,0.06,0.06,0.07,0.06,0.06,0.05,0.07
Run 31,0.16,0.1,0.07,0.06,0.05,0.06,0.06,0.03,0.05
Run 32,0.16,0.1,0.08,0.06,0.05,0.06,0.05,0.05,0.06
Run 33,0.15,0.1,0.07,0.06,0.07,0.06,0.06,0.06,0.07
Run 34,0.15,0.09,0.06,0.05,0.07,0.06,0.06,0.06,0.06
Run 35,0.15,0.09,0.06,0.06,0.07,0.06,0.06,0.06,0.06
Run 36,0.15,0.1,0.07,0.1,0.06,0.06,0.06,0.05,0.05
Run 37,0.15,0.09,0.06,0.05,0.07,0.06,0.05,0.05,0.06
Run 38,0.16,0.09,0.06,0.06,0.05,0.06,0.05,0.05,0.06
Run 39,0.16,0.09,0.06,0.06,0.07,0.06,0.06,0.06,0.07
Run 40,0.15,0.09,0.07,0.05,0.05,0.06,0.06,0.05,0.05
Run 41,0.15,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.07
Run 42,0.16,0.1,0.07,0.08,0.06,0.1,0.06,0.06,0.06
Run 43,0.16,0.1,0.07,0.06,0.05,0.06,0.06,0.06,0.06
Run 44,0.16,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Run 45,0.15,0.09,0.06,0.05,0.07,0.06,0.06,0.06,0.05
Run 46,0.17,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.06
Run 47,0.17,0.1,0.07,0.06,0.07,0.06,0.06,0.06,0.06
Run 48,0.16,0.09,0.06,0.06,0.07,0.07,0.06,0.06,0.06
Run 49,0.15,0.09,0.07,0.07,0.07,0.06,0.05,0.05,0.06
Run 50,0.16,0.1,0.07,0.06,0.05,0.06,0.06,0.06,0.06
Run 51,0.16,0.09,0.07,0.05,0.07,0.06,0.05,0.05,0.05
Run 52,0.15,0.1,0.07,0.06,0.06,0.06,0.06,0.06,0.11
Run 53,0.15,0.09,0.06,0.06,0.07,0.06,0.06,0.05,0.11
Run 54,0.16,0.1,0.06,0.07,0.05,0.06,0.06,0.05,0.06
Run 55,0.17,0.09,0.07,0.05,0.07,0.06,0.06,0.06,0.06
Run 56,0.15,0.09,0.06,0.05,0.07,0.06,0.05,0.05,0.06
Run 57,0.16,0.09,0.06,0.06,0.07,0.06,0.06,0.07,0.07
Run 58,0.16,0.1,0.07,0.07,0.07,0.06,0.06,0.05,0.06
Run 59,0.16,0.1,0.09,0.1,0.07,0.06,0.06,0.05,0.05
Run 60,0.16,0.1,0.06,0.07,0.05,0.06,0.06,0.06,0.06
Run 61,0.16,0.09,0.06,0.05,0.05,0.06,0.05,0.06,0.05
Run 62,0.15,0.11,0.06,0.08,0.05,0.06,0.06,0.06,0.06
Run 63,0.15,0.1,0.07,0.06,0.05,0.06,0.06,0.05,0.06
Run 64,0.16,0.09,0.07,0.06,0.05,0.06,0.07,0.06,0.06
Run 65,0.16,0.1,0.07,0.06,0.05,0.06,0.06,0.06,0.06
Run 66,0.16,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.08
Run 67,0.15,0.1,0.07,0.06,0.07,0.06,0.05,0.05,0.05
Run 68,0.16,0.09,0.06,0.05,0.07,0.07,0.09,0.06,0.06
Run 69,0.16,0.1,0.07,0.06,0.05,0.06,0.06,0.06,0.06
Run 70,0.17,0.1,0.06,0.05,0.05,0.06,0.05,0.06,0.06
Run 71,0.15,0.09,0.06,0.05,0.07,0.06,0.07,0.05,0.05
Run 72,0.15,0.11,0.07,0.07,0.08,0.08,0.06,0.05,0.05
Run 73,0.15,0.1,0.07,0.05,0.05,0.06,0.06,0.05,0.06
Run 74,0.16,0.09,0.06,0.06,0.07,0.06,0.06,0.06,0.07
Run 75,0.15,0.09,0.06,0.05,0.08,0.06,0.06,0.05,0.05
Run 76,0.17,0.09,0.06,0.05,0.07,0.06,0.06,0.05,0.05
Run 77,0.16,0.1,0.07,0.06,0.05,0.07,0.06,0.06,0.16
Run 78,0.15,0.09,0.06,0.05,0.07,0.06,0.06,0.06,0.13
Run 79,0.17,0.1,0.06,0.06,0.08,0.06,0.06,0.06,0.05
Run 80,0.15,0.1,0.07,0.05,0.07,0.06,0.05,0.06,0.06
Run 81,0.15,0.1,0.07,0.06,0.05,0.06,0.06,0.06,0.05
Run 82,0.16,0.09,0.06,0.06,0.07,0.06,0.06,0.05,0.06
Run 83,0.16,0.1,0.06,0.05,0.07,0.06,0.05,0.06,0.06
Run 84,0.16,0.1,0.08,0.06,0.05,0.06,0.05,0.05,0.06
Run 85,0.16,0.09,0.06,0.06,0.07,0.06,0.06,0.06,0.09
Run 86,0.17,0.1,0.07,0.06,0.09,0.06,0.06,0.06,0.06
Run 87,0.15,0.1,0.06,0.05,0.06,0.06,0.06,0.06,0.06
Run 88,0.16,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.08
Run 89,0.15,0.09,0.06,0.05,0.07,0.06,0.06,0.05,0.05
Run 90,0.16,0.1,0.07,0.06,0.07,0.06,0.06,0.07,0.08
Run 91,0.17,0.11,0.07,0.07,0.05,0.06,0.06,0.07,0.33
Run 92,0.16,0.1,0.07,0.07,0.05,0.07,0.06,0.07,0.18
Run 93,0.18,0.11,0.08,0.09,0.08,0.07,0.06,0.06,0.07
Run 94,0.16,0.1,0.07,0.05,0.07,0.06,0.06,0.06,0.08
Run 95,0.16,0.1,0.06,0.07,0.07,0.06,0.06,0.06,0.07
Run 96,0.15,0.09,0.06,0.05,0.07,0.06,0.06,0.06,0.06
Run 97,0.16,0.09,0.07,0.06,0.06,0.06,0.05,0.05,0.05
Run 98,0.15,0.1,0.07,0.06,0.08,0.06,0.09,0.07,0.09
Run 99,0.16,0.11,0.07,0.07,0.06,0.07,0.06,0.07,0.1
Run 100,0.15,0.09,0.06,0.05,0.07,0.06,0.05,0.05,0.05
