Timing study of parallel code with the following parameters:,,,,,,,,,
n_particles=2000,iter_max=100,pert_rate=0.3,stop_cond=0,,,,,,
N Threads,1,2,4,6,8,10,12,14,16
Run 75,0.62,0.4,0.27,0.23,0.21,0.26,0.23,0.22,0.21
Run 76,0.62,0.39,0.27,0.23,0.2,0.25,0.23,0.21,0.22
Run 77,0.62,0.39,0.27,0.23,0.2,0.25,0.23,0.22,0.21
Run 78,0.62,0.38,0.31,0.23,0.3,0.26,0.26,0.23,0.21
Run 79,0.62,0.41,0.27,0.22,0.2,0.26,0.23,0.22,0.21
Run 80,0.62,0.4,0.27,0.23,0.2,0.25,0.24,0.22,0.22
Run 81,0.62,0.4,0.27,0.23,0.25,0.25,0.23,0.22,0.21
Run 82,0.62,0.4,0.27,0.23,0.2,0.25,0.23,0.22,0.22
Run 83,0.62,0.4,0.27,0.23,0.2,0.25,0.23,0.21,0.22
Run 84,0.63,0.41,0.26,0.22,0.2,0.25,0.23,0.22,0.21
Run 85,0.61,0.39,0.27,0.23,0.2,0.26,0.23,0.22,0.21
Run 86,0.62,0.39,0.26,0.22,0.2,0.26,0.23,0.22,0.21
Run 87,0.62,0.4,0.27,0.23,0.2,0.26,0.23,0.22,0.21
Run 88,0.61,0.4,0.27,0.23,0.2,0.25,0.24,0.22,0.21
Run 89,0.64,0.44,0.28,0.25,0.2,0.26,0.23,0.23,0.23
Run 90,0.61,0.4,0.26,0.23,0.2,0.26,0.23,0.22,0.21
Run 91,0.62,0.4,0.27,0.22,0.2,0.25,0.24,0.22,0.21
Run 92,0.62,0.4,0.27,0.22,0.2,0.25,0.23,0.22,0.21
Run 93,0.61,0.42,0.27,0.23,0.2,0.26,0.23,0.22,0.21
Run 94,0.62,0.39,0.27,0.23,0.21,0.25,0.23,0.21,0.21
Run 95,0.61,0.4,0.27,0.24,0.2,0.25,0.23,0.21,0.21
Run 96,0.62,0.4,0.26,0.23,0.2,0.26,0.23,0.22,0.21
Run 97,0.61,0.39,0.27,0.22,0.21,0.26,0.23,0.22,0.22
Run 98,0.62,0.4,0.27,0.23,0.2,0.26,0.23,0.21,0.21
Run 99,0.61,0.4,0.27,0.22,0.2,0.26,0.23,0.21,0.21
Run 100,0.68,0.45,0.29,0.26,0.23,0.26,0.24,0.23,0.26
