Timing study of parallel code with the following parameters:,,,,,,,,,
n_particles=1000,iter_max=100,pert_rate=0.3,stop_cond=0,,,,,,
N Threads,1,2,4,6,8,10,12,14,16
Run 0,0.30,0.19,0.15,0.11,0.09,0.12,0.11,0.10,0.10
Run 1,0.32,0.21,0.18,0.13,0.13,0.13,0.12,0.12,0.22
Run 2,0.31,0.19,0.13,0.12,0.12,0.13,0.12,0.12,0.14
Run 3,0.34,0.21,0.13,0.12,0.11,0.13,0.12,0.11,0.13
Run 4,0.31,0.20,0.16,0.12,0.10,0.13,0.12,0.11,0.11
Run 5,0.32,0.19,0.13,0.11,0.13,0.13,0.12,0.12,0.13
Run 6,0.32,0.19,0.13,0.12,0.10,0.12,0.11,0.11,0.11
Run 7,0.31,0.21,0.15,0.11,0.09,0.12,0.11,0.11,0.11
Run 8,0.31,0.19,0.14,0.11,0.15,0.13,0.12,0.12,0.13
Run 9,0.31,0.20,0.13,0.11,0.10,0.12,0.11,0.11,0.11
Run 10,0.31,0.20,0.13,0.11,0.10,0.12,0.12,0.13,0.11
Run 11,0.31,0.20,0.13,0.12,0.10,0.13,0.12,0.12,0.12
Run 12,0.30,0.20,0.13,0.11,0.14,0.12,0.11,0.11,0.10
Run 13,0.34,0.21,0.13,0.11,0.10,0.12,0.12,0.11,0.11
Run 14,0.32,0.19,0.13,0.11,0.10,0.13,0.12,0.11,0.12
Run 15,0.31,0.20,0.13,0.11,0.10,0.13,0.12,0.11,0.11
Run 16,0.32,0.19,0.13,0.11,0.10,0.13,0.12,0.11,0.12
Run 17,0.31,0.19,0.13,0.11,0.10,0.13,0.12,0.11,0.11
Run 18,0.31,0.19,0.13,0.11,0.10,0.13,0.11,0.11,0.11
Run 19,0.31,0.19,0.13,0.11,0.10,0.13,0.11,0.11,0.11
Run 20,0.31,0.21,0.13,0.11,0.10,0.13,0.12,0.11,0.11
Run 21,0.31,0.19,0.13,0.11,0.10,0.13,0.12,0.11,0.14
Run 22,0.30,0.19,0.13,0.11,0.10,0.12,0.11,0.11,0.11
Run 23,0.31,0.20,0.16,0.11,0.14,0.12,0.12,0.11,0.11
Run 24,0.32,0.20,0.13,0.11,0.10,0.12,0.12,0.11,0.11
Run 25,0.32,0.19,0.13,0.11,0.10,0.13,0.12,0.11,0.11
Run 26,0.31,0.19,0.13,0.11,0.10,0.13,0.12,0.11,0.11
Run 27,0.32,0.19,0.13,0.11,0.14,0.13,0.12,0.11,0.16
Run 28,0.30,0.19,0.13,0.12,0.10,0.12,0.11,0.11,0.11
Run 29,0.32,0.21,0.13,0.11,0.10,0.13,0.12,0.11,0.11
Run 30,0.32,0.19,0.13,0.12,0.15,0.14,0.12,0.12,0.12
