1, 1e-06, 0.177961
2, 1e-06, 0.154222
4, 1e-06, 0.122797
6, 1e-06, 0.117047
8, 1e-06, 0.113476
10, 1e-06, 0.112828
12, 1e-06, 0.102553
14, 1e-06, 0.098647
16, 1e-06, 0.183576
1, 1e-06, 0.19457
2, 1e-06, 0.161106
4, 1e-06, 0.116644
6, 1e-06, 0.106977
8, 1e-06, 0.107758
10, 1e-06, 0.107118
12, 1e-06, 0.100226
14, 1e-06, 0.116724
16, 1e-06, 0.168449
1, 1e-06, 0.161371
2, 1e-06, 0.155901
4, 1e-06, 0.110985
6, 1e-06, 0.104259
8, 1e-06, 0.138914
10, 1e-06, 0.112217
12, 1e-06, 0.100409
14, 1e-06, 0.099916
16, 1e-06, 0.182433
1, 1e-06, 0.156326
2, 1e-06, 0.146914
4, 1e-06, 0.10699
6, 1e-06, 0.101492
8, 1e-06, 0.109582
10, 1e-06, 0.107039
12, 1e-06, 0.097413
14, 1e-06, 0.12159
16, 1e-06, 0.177143
1, 1e-06, 0.155448
2, 1e-06, 0.147331
4, 1e-06, 0.105887
6, 1e-06, 0.10268
8, 1e-06, 0.121366
10, 1e-06, 0.112384
12, 1e-06, 0.101891
14, 1e-06, 0.129432
16, 1e-06, 0.159756
1, 1e-06, 0.157822
2, 1e-06, 0.152031
4, 1e-06, 0.109483
6, 1e-06, 0.114498
8, 1e-06, 0.103453
10, 1e-06, 0.109035
12, 1e-06, 0.100609
14, 1e-06, 0.103818
16, 1e-06, 0.096932
1, 1e-06, 0.152746
2, 1e-06, 0.14664
4, 1e-06, 0.106222
6, 1e-06, 0.105524
8, 1e-06, 0.105476
10, 1e-06, 0.110721
12, 1e-06, 0.101142
14, 1e-06, 0.108713
16, 1e-06, 0.216967
1, 1e-06, 0.176499
2, 1e-06, 0.164982
4, 1e-06, 0.116403
6, 1e-06, 0.108226
8, 1e-06, 0.106182
10, 1e-06, 0.103801
12, 1e-06, 0.099177
14, 1e-06, 0.100665
16, 1e-06, 0.188222
1, 1e-06, 0.160419
2, 1e-06, 0.162994
4, 1e-06, 0.111304
6, 1e-06, 0.105021
8, 1e-06, 0.12551
10, 1e-06, 0.113877
12, 1e-06, 0.101228
14, 1e-06, 0.099411
16, 1e-06, 0.180991
1, 1e-06, 0.156522
2, 1e-06, 0.146873
4, 1e-06, 0.115954
6, 1e-06, 0.106951
8, 1e-06, 0.117908
10, 1e-06, 0.113444
12, 1e-06, 0.113383
14, 1e-06, 0.124537
16, 1e-06, 0.194267
1, 1e-06, 0.153533
2, 1e-06, 0.149668
4, 1e-06, 0.198984
