0.367292,37701
0.0598079,38253
0.0594315,38844
0.0431657,39433
0.00813229,40022
0.00636535,40598
0.00306458,41179
0.00162357,41654
0.000216129,42138
0.000158483,42550
0.000158483,42950
0.000158483,43384
3.2993e-05,43846
3.2993e-05,44287
1.96152e-05,44712
1.96152e-05,45125
7.6921e-06,45544
4.45143e-06,45967
2.38294e-06,46421
1.28153e-06,46882
3.17324e-07,47340
3.17324e-07,47777
2.21658e-07,48217
1.33767e-07,48633
1.33767e-07,49065
1.10326e-07,49479
7.08812e-08,49901
5.03617e-08,50344
4.04031e-08,50813
1.13352e-08,51269
9.83522e-09,51692
9.83522e-09,52117
5.73002e-09,52565
4.9685e-09,53005
3.71043e-09,53470
3.28977e-09,53917
2.63551e-09,54388
2.4883e-09,54822
2.02017e-09,55276
2.02017e-09,55694
1.8836e-09,56134
1.62521e-09,56574
1.44554e-09,57021
1.17725e-09,57482
9.42806e-10,57954
7.48747e-10,58412
6.35719e-10,58871
5.5766e-10,59320
2.79771e-10,59810
2.79771e-10,60283
1.94415e-10,60749
1.52661e-10,61209
8.66432e-11,61680
6.85323e-11,62153
5.01204e-11,62557
5.01204e-11,62991
5.01204e-11,63505
4.85993e-11,64038
4.02279e-11,64542
3.90942e-11,65018
3.69209e-11,65519
3.5613e-11,66018
3.39123e-11,66523
3.25685e-11,67009
3.10535e-11,67508
2.97841e-11,68002
2.8766e-11,68499
2.80179e-11,68994
2.72921e-11,69503
2.59757e-11,69994
2.46914e-11,70495
2.30392e-11,70985
2.22114e-11,71519
1.91496e-11,72048
1.82052e-11,72587
1.75625e-11,73098
1.65688e-11,73627
1.53361e-11,74154
1.49904e-11,74672
1.42963e-11,75187
1.38429e-11,75649
1.27805e-11,76149
1.26416e-11,76705
1.21913e-11,77259
1.21064e-11,77746
1.19923e-11,78257
1.18974e-11,78826
1.17237e-11,79368
1.14768e-11,79888
1.13607e-11,80402
1.11331e-11,80932
1.09621e-11,81452
1.09447e-11,82003
1.0838e-11,82518
1.07126e-11,83079
1.06075e-11,83601
1.05069e-11,84119
1.04143e-11,84636
1.02995e-11,85180
1.01659e-11,85774
